path	1
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
path	2
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
path	3
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
path	4
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
path	5
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
path	6
T	3
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816,818,813
Partition 3	820,809,810,819
Partition 4	808,799,806,807
path	7
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807,814
path	8
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
path	9
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
path	10
T	2
cut	9
Partition 0	797,803,811,805,812
Partition 1	804,801,802,800,796
Partition 2	814,817,798,815,816
Partition 3	820,809,810,818,819
Partition 4	808,813,799,806,807
